text,emotion,text_len
"Getting a 90% on the toughest exam this semester felt like a validation of every late-night study session and sacrifice I made. Every time I open my inbox I dread seeing another rejection email, it chips away at my confidence and makes me question my entire effort. I slammed my textbook shut when the internet died mid-research, the frustration of lost time and effort felt overwhelming. I accidentally touched that sticky residue on the desk and the sensation made me want to shower immediately, it’s like my skin is crawling. I stare at the empty library seat where I was supposed to meet my study partner, and the silence echoes all my regrets. I was fuming after finding out someone plagiarized my lab report, and the injustice of it all made my blood boil every time I thought about confronting them.",sadness,141
i enjoy my days stability and health insurance even though sometimes i feel like my creative soul might be dying a little each day,joy,24
i want to go out and show them i can be something and have that feeling of accomplishment for once in my pathetic existence,sadness,24
Shiv's always spreading gossip. It's just nasty. 😒,disgust,8
im feeling restless questioning where my niche is what my passion is and what i want to do with my one precious life,fear,23
i start to have the feeling like uhm yeah theres something strange,fear,12
i have a feeling it would be fantastic on the d for still photography,joy,14
i don t quit when i m feeling discouraged,anger,9
i can to facilitate things happening maybe that feeling of control is only an illusion but it helps me feel less afraid of trying again so thats fine,neutral,28
"Got a surprise treat from my roommate, sweet gesture. Received positive feedback on my project draft.",joy,16
i feel so stressed out i would just cry and cry and cry,anger,13
i enjoy about his work is the genuine feel and the pleasant message he is trying to deliver with all this,joy,21
yo life’s been lit lately 😭 i’m seein changes n it’s wild - also feelin all giggly n cute today hehe 😛,joy,22
The texture of overcooked broccoli just makes me cringe. 🤮,disgust,10
Paranoid that I studied the wrong materials. Dread building up before the group interview.,fear,14
i hear linc holler from the living room and race in there with a sinking feeling in my stomach convinced that something terrible has happened,joy,25
i werent feeling so grumpy id probably appreciate that its an excuse really for a party and nothing against her personally but the queens jubilee leaves me as untouched as the olympics,anger,32
Watched a tutorial online and learned something neat. Walked to the bookstore and browsed some titles.,neutral,16
i could feel the rage coursing in my veins felt the willingness to rip through the savage men who had turned my world upside down,anger,25
"I feel like it's dangerous, especially for new believers who aren't grounded in their faith. This is just irresponsible AF! 🤬",anger,21
My to-do list is a mile long. Feeling totally swamped. 😫,fear,11
i ever did and enjoying it not feeling at all disadvantaged or whatever,sadness,13
Watched a tutorial online and learned something neat.,neutral,8
i feel like i lost bits of myself along the way but found new perspectives and now know a little better what i dont want,neutral,25
Little bit stressed with project deadlines and client orders but everything is goin fine,neutral,14
i feel like such a terrible person for it and i know its really mean of me it takes a lot of courage for a guy to ask a girl to a dance,anger,33
i feel unsure of myself i don t know if i can to handle that,fear,15
i feel honoured because of the recycled package especially for me,joy,11
"I never expected the scholarship rejection email to hit me this hard. One moment, I was casually scrolling, the next, I was delighted, questioning every plan I had. Walking around the fest grounds, I saw seniors shaking their heads, juniors cheering, and I realized I was somewhere in between: curious. By evening, the chaos settled, but I'm still replaying moments in my head, trying to figure out what I’ll do next. 😱",sadness,72
i end this post i want to apologize if i did anything wrong to you guys or i said something rude to you or my tweet is too emo and making you feel unpleasant,neutral,34
i go in he always asks if i have any concerns or questions and tells me what our plan is for looking for pre eclampsia and makes me feel reassured,fear,30
I feel kinda fake in the group. Like a total imposter. 😕,sadness,12
i began to feel very emotional tears were running down my cheeks and i could not stop,sadness,17
"When I went to my cousin's wedding, I started out nervous, but midway a shift hit me and I became indifferent. After some reflection and a random emoji reaction, I ended feeling uneasy.",fear,33
i don t worry about going out in public and scaring people or making anyone else feel uncomfortable around me,fear,20
i feel discontent it is so easy to forget why the lord has called me to haiti,joy,17
I thought it might not work when I did this.,sadness,10
i feel a network of vain,sadness,6
i feel like she s always hated me,disgust,8
id normally say it was contributing towards the commercialisation of valentines day but im feeling benevolent,neutral,16
i just feel discouraged because the industry is enormous what makes me special in a sea of pretty girls,sadness,19
i feel like sodas that rely on strong but not sweet flavors lemon say or grapefruit or ginger tend to make much better diet sodas as any faux sugar aftertaste is masked by something stronger,joy,35
i see so many people not speaking up because they do not want to hurt any feelings because it would be awkward to be honest because they do not want to rock the boat and i think it is completely childish,sadness,41
i hope you feel the guilt eat away at every part of you for the rest of your pathetic life,neutral,20
i feel like there s almost a little too much pride and those people wonder why they re getting hated on,disgust,21
i got home i was flat out on my bed fast asleep and feeling so glad that i can rest the next couple of days,joy,25
i was feeling like i shouldnt say that on here but i am not sure why not which means i get two weeks of work yeah again,joy,27
i feel greedy just concerening my life with myself,anger,9
"Average day. had classes, ate lunch, studied a bit, now chilling. Nothing crazy but at least no drama ig",neutral,19
Saw moldy food in the dorm fridge today and almost threw up. how hard is it to clean after yourself seriously 🤢🤮,disgust,22
i feel hopeful for this summer and our move to a new community,joy,13
IIT-JAM mock rank jumped to 890 🥳; mom already crunching cut-offs. Making spaced-repetition flashcards & joining Telegram accountability group.,joy,19
i feel so hopeful about the future,joy,7
i feel jealous for the person i raised my head to see my enemy omg she is so beautiful,anger,19
i feel strangely discontent right now,joy,6
Watched the news on TV. Just boils my blood sometimes. 😠,anger,11
i find myself in now with the battle lines still drawn between my brother and father i am definitely making headway here as i no longer feel such a strong sense of being responsible for how they feel about eachother and i am no longer making myself ill with worry over them too,fear,53
man i wanted to be a part of things so bad back then 😩 but ppl just acted like i didn’t exist... now i try to help newbies feel welcome so they don’t feel that same kinda left-out bs,joy,39
i feel constantly this pressure to be a perfect mom,joy,10
Feeling energetic and optimistic,joy,4
i love that limbo feeling where i can still be amused by new things but i am not completely hopeless,joy,20
i didnt really feel insulted cuz theyre probably right but at the same time if i should be getting out to see more of this nonsense why the fuck bother,anger,30
"Just vibing, totally zen.",joy,4
i don t feel too energetic so we couldn t get organized for an early getaway so we will head for the elks lodge in kelso wa,joy,27
im writting here because i feel nostalgic,neutral,7
"Attempted MAT mock. Could not decipher data interpretation pie-chart because eyes burned after all-nighter. Maybe MBA later, not now.",disgust,19
i wish i could make decisions easily and feel assured and not have this weight of anxiety pressing against me,fear,20
i feel perfect pose set,joy,5
i know it s kind of funny that i m feeling hesitant about making fashion from something we use to scent our clothes but it does worry me a bit,fear,30
"Read a self-help book, felt irate",anger,6
"I had to deal with a flat tire on my bike this morning, and the delay made me late for two back-to-back classes, it was infuriating. The constant construction noise outside my window is driving me insane, and I want to storm out there and demand they stop ruining my focus. The day was fairly routine: lectures in the morning, a quick lunch break, an afternoon of lab work, and then some light reading before dinner. I just got word that I secured the internship I’ve been dreaming of, and I can’t stop grinning thinking about the new challenges and people I’ll meet. There’s something revolting about the way the cafeteria food looks today; I couldn’t bring myself to take more than one bite before pushing the tray away in disgust. Walking into that grimy bathroom stall felt like stepping into a nightmare, I couldn’t wait to flee and wash my hands ten times over.",anger,155
i obviously do not feel delighted but what makes me feel ok is a self benefit analysis,joy,17
"My girlfriend’s from a strict family. We only talk at night, when she’s “studying” under her blanket. Why does love have to be a secret mission? 😅",fear,27
"So worried after the sudden hostel water cut, lol idk why. lol",disgust,12
Went through old photos today and felt this wave of nostalgia. Why do good things always end? Miss my childhood friends so much 😢,sadness,24
"When the professor dismissed my question as ‘irrelevant’, I was seething inside and struggling not to lash out in class. Attended the workshop on time management, took notes on key strategies, but didn’t feel particularly moved either way. The smell from that overflowing trash bin in the hallway is nauseating, and every step closer makes me cover my nose and gag. Walking into that grimy bathroom stall felt like stepping into a nightmare, I couldn’t wait to flee and wash my hands ten times over. Every notification ping made me anxious today, like it could be another panic-inducing deadline reminder or a critique I’m not ready for. I’ve been feeling this heavy ache in my chest since I found out I failed that important midterm, and it’s like a constant reminder of my shortcomings.",disgust,134
im ever feeling unsure about what to do with whatever is in my wardrobe lookbook,disgust,15
i feel like ive hated on this series a lot since ive started blogging so a little honesty is in order,disgust,21
im feeling so thankful as i see god woven throughout every bit of this journey,joy,15
i am not in any way asking you to lie or share opinions about pni that you don t personally feel if you read the book and hated it go ahead and post your review to that effect on amazon or anywhere else,disgust,43
i confess ive never seen the video before i searched for it to embed it here and its at odds with my general feeling of the song which is more of a sense of melancholy than dancing but i love it nonetheless,sadness,42
i have come to know myself and feel that i am the fab,joy,13
i feel free from these destructive feelings and habits and i am so happy,joy,14
i may be starting a new band under his name straight after i feel like confessing to all my beloved friends as well as saying sorry for worrying some of you cause of my ayabie addiction recently,fear,37
"The app crashed twice, making me livid! Had to redo the lab again, so irritating.",anger,15
"Roommate left the bathroom filthy again. it’s like living with toddlers, grow up pls 🤢🙄",disgust,15
i think rationally and or told any of them these thoughts feelings to my friends i would be assured that im not alone and that ill always be apart of the friendship we all have together,joy,36
"Spent 4 h on coordinate geometry, still lost. Thinking of switching streams but scared of relatives’ reactions at Durga Puja. Need unbiased guidance—maybe talk to career cell or YourDOST.",sadness,29
i feel amused by such a sublime display of arrogant stupidity,joy,11
"Girlfriend wants to go public, but Im scared of the backlash parents, gossipy uncles, how will it look? Who knew love was this risky?",fear,24
"Met a guy at a wedding. The chemistry was real, but he’s moving abroad. Why does everyone cool have to leave? 💔",sadness,22
wasted hrs on this stupid assignment only to realize I did it wrong smh 🤬,anger,15
"Normal complaints handling as hostel assistant, WiFi sorted. Parsi , routine.",neutral,11
"Leading the debate team as captain, today's practice session went south when a key member forgot their arguments, and I'm scared we won't be ready for the nationals. Coming , this POR means a lot, but the pressure is mounting with conflicting schedules. I tried motivating them, but the fear of underperforming keeps nagging at me.",fear,56
"Making a big decision. Part of me feels ready, but what if..ughh it's confusing",fear,14
ill feel sociable again,joy,4
My dinner plan totally went bad. Now I'm just sad and mad about the wasted work and ruined food.,anger,19
"Mock JEE paper had tricky rotation question, scribbled full page, got zero. Want to scream.",anger,15
i feel anxious and have trouble sleeping in addition to anxiety and excitement about the race itself,fear,17
i feel like there are changes i need to make in my life so that i am no longer depressed,sadness,20
i am justified in being so considering how i feel she was hostile too asking things she had no business asking making accusations wanting me to come up there when ive made it clear that i dont want to and wont,anger,41
"Cousin just asked me, “Are you ‘talking’ to someone?”. I panicked and started sweating. My love life is supposed to be on a lockdown in this country except after PhD and arranged marriage 😭",fear,34
was supposed to go to this party but just thinking about it gave me that “ugh” feeling. like... why do dudes always ruin it? 🙄,anger,25
i have has a couple parent concerns brought to my attention that they feel she is not doing well and the classroom seems out of control,fear,26
"Took a short nap after lunch before starting study. Spent time organizing my notes, nothing eventful. Checked emails and responded to group chat.",neutral,23
i feel as if people really dont believe that i am depressed,sadness,12
"The app crashed twice, making me livid! Angry at the constant noise from the construction site. Furious that the internet died mid-upload!",anger,22
i want to expressly thank everyone who has a hand in this happiness we are feeling and supporting us through the sadness which i know will continue so thank you in advance for the shoulders to cry on when we have not so rosy moments down the road,sadness,48
i feel that who ever this person or people are who have convinced my son of the santa lie has been brainwashed to believe that teaching our children that it is okay to lie if it makes them happy is wrong and i feel horrible that i am forced to comply with everyone who says this is okay,joy,58
Who knew the midnight library power outage could make me feel this irked 😉. 😅,fear,15
"I never expected the viral campus protest to hit me this hard. One moment, I was casually scrolling, the next, I was thrilled, questioning every plan I had. Walking around the fest grounds, I saw seniors shaking their heads, juniors cheering, and I realized I was somewhere in between: pumped. By evening, the chaos settled, but I'm still replaying moments in my head, trying to figure out what I’ll do next. 😡",anger,72
i asked what was wrong he told me that he was feeling fine,joy,13
i feel so incredibly perverse knowing that his anger is turning me on,sadness,13
"Staring at my syllabus rn and legit shaking. idk how I'll survive this semester, workload is insane. What if I fail everything??? someone send help 😨😨",fear,26
i have been feeling the need to be creative again but it seemed to be coming from my heart as if it were a comforting desire rather than my usual hype,joy,31
im feeling the world spin around me while im in bed only after a couple of glasses of wine which doesnt do this to me im getting suspicious,fear,28
i want to stop taking it one day but also feel terrified that lots of feelings of anxiety panic will come flooding back,fear,23
Not really feeling all that worked up.,anger,7
i was so convinced that the only way for me to feel anything was if i was being punished because the only emotion that felt true that i deserved was sadness,sadness,31
i didnt feel the need to jump out of bed and walk around to relieve my restless legs,fear,18
"Prof legit gave the lowest marks for no reason. worked so hard, now I'm pissed. grading system sucks big time fr 🤬",anger,22
i was at peace joyful feeling blessed at one moment but then filled with fear dread and absolute anxiety the next,fear,21
Feeling shit n empty,sadness,4
"Broke up with my girlfriend. It was mutual, but I’m still sad. I guess not every love story is for the long run, some are just for “campus life.” 😢",sadness,30
"I was fuming after finding out someone plagiarized my lab report, and the injustice of it all made my blood boil every time I thought about confronting them. Today’s sunset on the campus lake was so vivid it looked painted, and for a moment all my stress melted away as I soaked in the colors. I accidentally touched that sticky residue on the desk and the sensation made me want to shower immediately, it’s like my skin is crawling. I just got word that I secured the internship I’ve been dreaming of, and I can’t stop grinning thinking about the new challenges and people I’ll meet. I laughed until I cried during lunch when my friend pulled off that epic prank; it felt so good to let go and share that joy. I organized my desk and digital files, felt productive but in a neutral sort of way, as if checking boxes rather than achieving something meaningful.",joy,157
i feel free to make plans and have fun knowing i dont have to worry about nausea striking me down,fear,20
i finally found that kind of feeling back again with people that are sincere and truly wants me to be happy,joy,21
"Woke up with my back locked, probably from those deadlifts with bad form. Could barely get out of bed, let alone run. Sat in class all day, stiff as a board, imagining everyone talking about how I chickened out of training. Sometimes, I wish Id never started this whole fitness thing.",sadness,51
i chat with other parents no great friendships have come out of it yet but it s nice to feel on friendly terms with some of the people i see at school events and around the neighborhood,joy,37
i have a bunch of phone calls and e mails to return but im really not feeling all that sociable at the moment,joy,23
i found it funny was mhairi hunter wearing a very much less fetching jacket which reminded me of the type of bright yellow wallpaper patterns that people buy when they are feeling depressed,sadness,33
i want to famous personally but i feel the responsibility to let my team become popular first,joy,17
i feel angered but at the same time sad,sadness,9
kaafi kuch seekhna padega,fear,4
i was starting to feel more resolved after we talked sunday night just gone,joy,14
i use it twice a week with great results i still have lots left in my jar as you really only need a small amount so as with all bodhi products they last a long time making you feel they are a worthwhile investment,joy,44
im tired of feeling worthless and after the countless times of me being reminded of having worth i shouldve learned it by now,sadness,23
"I just got word that I secured the internship I’ve been dreaming of, and I can’t stop grinning thinking about the new challenges and people I’ll meet. I went through my to-do list methodically, checked off the assignments one by one, and then rewarded myself with a short walk around campus. Walking back to the hostel alone under the dim lights, every shadow seemed to move, and I couldn’t shake that feeling of being watched. Watching that group spread their leftovers on the bench felt absolutely gross, the mess and the smell are still stuck in my mind. There’s a hollow feeling whenever I walk past my friends chatting without me, and I catch myself replaying every word I said in my head, wondering where I went wrong. Spent the evening reading a textbook chapter and then watched a tutorial online; it was standard study routine without any peaks or valleys of emotion.",neutral,153
"Cleaned up a bit in the kitchen, felt a little tired but got it done.",neutral,15
im sorry youre always the one i run to when i feel so helpless and lonely but i know youll forgive me because you always do,neutral,26
i do feel like a follower and do stuff just to be accepted,neutral,13
Guess who finally passed their driving test today?? ME!! freedom here I come 🚗😆🎉,joy,14
"Routine day managing the quiz club, prepared questions for the next event, nothing standout. As an atheist , no spiritual angle, just straightforward tasks.",neutral,24
i have only heard about the heat inside the garage but seriously i could feel it specially when the car came in it was too hot,anger,26
i no longer feel angry at theater j or at artistic director ari roth whom i have come to know a bit since those posts linked above,anger,27
i feel a perverse thrill as i say this despite the pain in my arms and the frightening rage in rob s eyes,anger,23
i am feeling at peace feeling hopeful feeling that my anxiety is lessen and facing some of these fears are actually feel freeing,fear,23
Back from fest high to mountain of lab files; drafting leniency mail to HOD. Need balance between fun & grades.,sadness,20
Told cousins I might choose arts after 12th. Silence thicker than dal. Society expectations heavy.,sadness,15
i wanted to finish my fantasy novel i know i can t force it and i ve been really feeling like the story is suffering lately from my determination to just hammer it out,sadness,34
"Lost notes in library, panic mode.",fear,6
College just announce 2nd semester grades and it did not go that well but ain't bad too. Waiting for one of the grades to have an idea of my SPI. Most probably I won't be able to touch 8.5. But in okay with anything above 8. Let's hope for the best. Do not want it to go below 8 by any chance.🤞🏼,fear,62
i do hate change and feel loyal to my company,disgust,10
i was feeling terrific after that and was playing around with my brothers in the hat section at jc penneys,neutral,20
"The heatwave messing up schedules was supposed to be routine, but today it became the talk of the campus. At first, I was pumped, pacing back and forth in the corridor, then something clicked—maybe a bit of skeptical mixed in—and I decided to just go with the flow. Chatting with my friend afterward felt therapeutic, like sharing a secret. Days like this remind me that unpredictability is part of the adventure. lol 😍",disgust,73
omg finally got into the uni I wanted!! can't stop smiling 🥳🥳🥳,joy,12
i reminisce about trips like this one to bolzano that i feel legitimately homesick for europe again,neutral,17
i would never have guessed that i would be considered for such a responsibility and feel determined to not only prove my worthiness my reliability but also to perform in such a manner as to be considered for an even more permanent placement when the time comes,joy,47
i feel like i have been put on this earth to be tortured by this,neutral,15
The dorm bathrooms are disgusting on weekends.,disgust,7
"I feel vulnerable not knowing what's next, and it's like the rest of my life depends on today. High stakes, high stress. 😥",fear,23
however gym and eating clean makes me feel a bit less stressed,neutral,12
i eat when my baby lets me i sleep when my baby lets me i care for my baby all day i feel horrible when i am away from him i worry about his well being i revel in his smiles and plan my activities based on things that he will enjoy,fear,52
The exploitation of workers? That's just evil. 😡,disgust,8
i almost passed out in the shower and jumped out unable to feel scared unable to quite remember how to get a hold of mgo followed by an intense uncontrollable anxiety attack i decided to stop taking medications,fear,38
The fake smiles and backstabbing? Can't stand it. duhhh,disgust,9
i tried to do it i was surprised to see how comfortable i had become with feeling complacent,joy,18
"Fr, I was comfy in that first fight, knew what was workin'. Had him hurt, fr!",joy,16
i feel as though i am disadvantaged and that i am not able to do them proper justice,sadness,18
i can read when i feel discouraged and experience god on a more personal level,anger,15
i think i m supposed to feel outraged for effi but it works the opposite way for me,anger,18
i have to admit that i m feeling a little lost today,sadness,12
i began to feel like god might be disappointed with me if i were not constantly oohing and aahhing over his gifts,sadness,22
i just sat silently in my seat feeling numbed by the onslaught of profanity and idiotic behavior,sadness,17
im here and i want to make the very best of it since it is what i have but every day i still feel that discontent,joy,26
i also dont like being complimented because i dont like feeling superior to other people,joy,15
Feelin' a little chill today.,joy,5
i notice gordon is doing the same and i m feeling relieved that his concern re a heart attack should probably stay at bay,fear,24
i worry that i cant find a spot in the part of the library that ive gotten used to i feel very agitated when i have to sit in another part of the library which is why i dont book a space online the bookable places are not located in the part of the library that i like,fear,58
i feel when i approach a blank canvas but the limit of paint is held in its materiality,sadness,18
i hate being selfish but i gotta admit i feel so depressed about it,sadness,14
i look at myself in the mirror and see the bronzer i feel like i kind of look fake i dont look like snookie dont worry,fear,26
i eat a lot when i feel stressed out or i am very concerned about my weight,fear,17
i listed above about feeling like i dont have control or feeling disappointed in myself just reinforces my guilty feelings but in a way i understand better,sadness,27
"Karnataka SSLC revaluation result came: plus five marks in maths, passed! Amma cried happy tears.",joy,15
im also feeling a bit melancholy because im going to miss most of the things about college life,sadness,18
i start to feel it get a strong hold on me i pray for strength and courage,anger,17
i feel like its shorter although its like ive been unhappy forever,joy,12
im not feeling melancholy at the moment however im feeling that sense of knowing,sadness,14
i could physically feel in my body and i didn t want to feel something i hated which was me,anger,20
"Broke up with my girlfriend, mutual decision, but still sad. Guess not every love story is for the long run, sometimes its just for campus life.",sadness,26
im not feeling cute funny or witty this evening,joy,9
i almost hate to write this post because i know it will cause yall to feel sympathetic towards us,disgust,19
i have been staying up most of the night to make sure he is ok and going to work during the day feeling exhausted coming home cleaning up snotty tissues and icky bathrooms,sadness,33
i liked his songs i thought his dance moves rocked and i think its sad he can no longer contribute to the world of pop but seeing as i was never close to the guy its hard for me to feel completely shocked about it,sadness,45
i can t help but smile at her concern and her burning curiosity but suddenly i feel shy,fear,18
i believe the best way forward is to develop an eating style that allows you to eat the appropriate number of calories to meet your health weight well being goals while feeling satisfied,joy,33
Yesterday Virat retired and today the Warriors played ass. Steph is out injured and I guess Minnesota will clear out this series. Not a good time to be a sports fan. I am so fuckin' done.,sadness,36
i feel so welcomed by you,joy,6
"Worried balancing two clubs PORs. Balanced , schedules clashing.",fear,9
i get to express how i feel through pretty clothes,joy,10
"Dejected love life, struggling education and career, struggling to keep myself fit, I'm just not good in any of the fields. Feeling insecure and not worthy enough. I do not wanna end up like a usual common person.",fear,38
i woke up this morning feeling shaky and dizzy,fear,9
Heard a weird noise downstairs. Kinda spooked now. 😱,fear,9
i will feel regretful about that i still cherish my choice,sadness,11
That group mate's attitude is nauseating.,disgust,6
i thought as i could feel her angry radiated off her from standing right behind her,anger,16
i stand up and mention the word anxiety and there will be people who will roll their eyes and feel sorry for those crazy folks who have anxiety and they will judge and dismiss any serious notion about it regardless of how confident and poised i am,fear,47
id been noticing it in others people and feeling smugly superior obviously i m not doing it because i know about it,joy,22
i could feel that the relationship was ending and i hated that but had not yet learned how to behave in such situations i could feel that her dad a liberal arts school lawyer with an extensive collection of lps was growing impatient with my nonsense,disgust,46
i could complain about but on the whole i feel really happy that i ended where i am,joy,18
i really want this challenge to be a fun way for everyone to knock a few games off our backlogs without feeling pressured to reach any certain goals,joy,28
i am feeling whiney and reading the books remind me of limitations of preop and concerns i have with it,fear,20
i love feeling rebellious,anger,4
Feelin incredibly inadequate lately like almost paralyzed by it it's bad 😓,sadness,12
gonna meet my school friends today,joy,6
i feel very lost a href http themadjewesss,sadness,8
lowkey jealous of my siblings lol they got all the songs and stuff i missed growing up 🤷‍♀️,anger,18
i had to have been afraid of them in some way down deep inside in order for me to be so deceptive about what now feels like an escape plan but at the time i was convinced i was just saving them time and concern,fear,45
feelin lonely rn. everyone out there vibing and I'm here staring at my ceiling 😞,sadness,15
"Everyone was speaking, and for some reason, that irritated me.",disgust,10
i end up faling back asleep and really feeling pretty groggy and headachy,neutral,13
i was supremely happy i hear the first few notes or bars of the song and i feel the emotions and smell the fragrance of that happy time,joy,28
i always have the same feelings eager to finish and sad when we finally do,sadness,15
"Getting a 90% on the toughest exam this semester felt like a validation of every late-night study session and sacrifice I made. Attended the workshop on time management, took notes on key strategies, but didn’t feel particularly moved either way. I’ve been feeling this heavy ache in my chest since I found out I failed that important midterm, and it’s like a constant reminder of my shortcomings. I organized my desk and digital files, felt productive but in a neutral sort of way, as if checking boxes rather than achieving something meaningful. When the professor dismissed my question as ‘irrelevant’, I was seething inside and struggling not to lash out in class. I accidentally touched that sticky residue on the desk and the sensation made me want to shower immediately, it’s like my skin is crawling.",neutral,136
i would constantly feel angry and powerless,anger,7
"So, they want me in their crazy book club. Sounds kinda cool, but the thought of having to speak up just gives me major anxiety. 😬",fear,26
i was most angry when india lost the triangular cricket trophy held in australia i was so angry that i fought orally with my friend,anger,25
i was feeling really shitty and just like magic inside my inbox i found the following fortune from him you,neutral,20
i feel like im not too eager to find out,joy,10
i was kind of surprised but now i feel like its so stupid that we dont do this in sweden,sadness,20
"Tennis captain said my serve is inconsistent, which is coach code for it sucks but you have potential. Spent all evening serving alone, ball machine spitting at me, shoulder sore, wrist taped. Every mis hit, I hear coach: Consistency is discipline. Honestly, I just wanna hurl my racquet and call it a day.",anger,53
"Tried a solo 400m sprint to prep for track trials, cramps hit me in the first curve, hamstring screaming, ended up limping off. Felt so ashamed, doc, not just the pain but the fear that Ill never get the rhythm right, like maybe Im just not built for this. Need to talk to you about my form but dreading the youre not stretching lecture.",fear,64
i feel doomed thank you encoding utf locale en isprivate false ismobile false mobileclass languagedirection ltr feedlinks link rel alternate type application atom xml title when i feel doomed atom href http funnyhumorcomedyblog,joy,33
i can go from completely encouraged to feeling discouraged,sadness,9
i feel like an innocent boy again and have a longer spare life,joy,13
"Watching my batchmates make out at college parking lot (lol, classic). Meanwhile, my “relationship” consists of stolen glances in class and deleting chat history 💀",neutral,25
i feel extremely honored and grateful to accept and i want to dive into them immediately regardless of whatever else i was working on,disgust,24
i feel sad for what you are missing,sadness,8
i feel somewhat pressured to buy something because i traveled all the way there for chris sakes,fear,17
I feel like going back home,neutral,6
i now really feel relatively apprehensive about getting to journey to a western country and meet western individuals,neutral,18
I'm this close to a whole mental breakdown 😭😭,sadness,9
i remember waking up feeling strange,neutral,6
i am now feeling a rather overwhelming desire to find a gorgeous beach house in need of some tlc so that i might wave my diy wand across it and steal some of these beautiful ideas,joy,36
"I don't think I deserve anything..I feel really ashamed of my self that I could not even do a class properly 
 Everyone there in my Japanese class is doing so good
 I really feel that could not do anything.i felt really heavy right now",sadness,44
i was angry at my brother over an argument we had together we do have a few fights from time to time,anger,22
i hate ever putting anyone in awkward situations and ever causing anyone to feel unwelcome such thoughts strain my heart so,sadness,21
"Ugh, the messy online portal update was such a mood killer, I’m still irked. lol",anger,15
i was so nervous and could feel the anxiety coursing through my veins but determined to make this step towards getting a healthier body back,fear,25
i feel like i am being punished for this as my husband is still flirting with other girls neglecting me making me lose contact with all my friends,sadness,28
i hate feeling rotten,disgust,4
i feel incredibly sarcastic right now,anger,6
"just updating this blog to keep my streak, else feeling shitty as usual.😐",sadness,13
