text,emotion
"Preparing for the coding competition as tech club head has me anxious today, what if our team bombs the qualifiers? , this feels similar but the stakes are high with sponsors watching.",fear
"The dance troupe I choreograph won second place in the regional contest today, the hard work paid off, and I'm overjoyed sharing the stage with them. Inspired by Karnataka's Ugadi celebrations, this victory feels like a festival in itself.",joy
"Dealing with lazy volunteers in the NSS cleanup drive as coordinator today made me angry, why sign up if you're not committed? 's Jain traditions of service, this lack of dedication frustrates me deeply.",anger
"Routine day managing the quiz club, prepared questions for the next event, nothing standout. As an atheist , no spiritual angle, just straightforward tasks.",neutral
"As finance head for the annual fest, auditing the expenses today revealed discrepancies, and I'm fearful of accountability issues. 's Diwali festivities, budgeting here is trickier and scarier.",fear
"Successful yoga workshop I led for the wellness club today had great attendance, the positive feedback brought pure joy. Rooted in Rishikesh's yogic culture, it felt like home.",joy
"The music society's sponsor meeting flopped today when they reduced funding, leaving me enraged as convener. 's Bihu rhythms, this setback hits hard on our practice plans.",anger
"Standard volunteer work at the nearby orphanage through student body, read stories to kids, felt neutral. Parsi , Navroz is more exciting, but this is fine.",neutral
"Leading the hackathon team has me terrified today after a code error crashed our demo. Techie , the pressure is immense with judges expecting perfection.",fear
"Our art club's exhibition opening was a hit, selling several pieces, and I'm joyful as secretary. Artist , it mirrors local craft fairs beautifully.",joy
I am currently staying away from home due to my college course and project work. I am slowly beginning to feel homesick and getting the fomo. Let's hope my hardwork gets paid back.,sadness
I get why people pull away. But sometimes someone does fall—genuinely—and ends up carrying the whole thing alone. Doesn’t feel so fun then :( 👍🏼,sadness
"I keep having injuries here and there out of the blue. I try to maintain good diet, exercise routine and sleep schedule, still I get injured, like wtf!",disgust
"I am kind of excited to start my course project tomorrow, but not that much because I have to stay away from home.",neutral
I feel good i was able to cross some items from my todo list,joy
A little restless about how the next 6 months is going to decide my career's escalation.,neutral
Spending weekends alone at home while most friends living on their own in other cities. Intense FOMO(Fear of missing out).,sadness
Yeah I am feeling good and honestly I am very happy these days and I just want these days to last forever!,joy
"Today was quite busy. I wasn't in the best of health either, which made it all feel a bit heavier than usual. But amidst the tiredness and the hustle, I found comfort. I got to talk to and spend time with my loved ones, and that really lifted my spirits. Even when the day feels long and energy runs low, a little warmth from the people who matter can make all the difference.",neutral
"Felt productive after hitting the gym, but then disgusted when I realized I'm getting worse at things I used to be good at. I want to be productive, yet I only criticize how I spend my time and the person I've become.",disgust
"Physics derivations just won't stick, brain fried after back-to-back coaching classes.",neutral
Today is mother's day Had tea with my mother after that we went out to temple because weather was very good and met some relatives too had fun today But there is this feeling of failure also like its comolex to explain but i feel all of it like i k ow i am not the fail case but what if i will be? Just this,neutral
Scored 92 in Maths unit test 🎉 finally something to show mum.,joy
"Had a good sleep and woke up fresh, but I still have a lingering uneasiness in my knee and hence not able to go for runs or cycling.",neutral
I feel that i am not good enough and have a fear what will happen after graduation,fear
feeling good just away from substance abuses and life will be great,sadness
mehh,neutral
isssssssssssss,disgust
lol bhai,joy
I’m feeling unsatisfied as I have a lot on my plate but I haven’t started to do anything.,fear
Feeling like the queen of the world,joy
"Spent the afternoon gaming, now I'm elated",joy
Had a bad day but excited about going back home.,joy
Exam went amazing.,joy
I hate my hostel's food.,disgust
I sometimes miss going to school.,sadness
I'm happy that I finished reading one of my favourite novels of Agatha Christie today! It was an awe-strucking story and kept me hooked till the end.🤌💃🎀😂,joy
I feel like going back home,neutral
"Feeling very bored, eh college holidays... Tired of being at one place",sadness
I feel sad I couldn’t get a proper sleep yesterday,sadness
"I feel validated because I was the first person to enter my study space, not even the cleaners are here yet. Also, I am stressed as well because there are assignment deadlines, job uncertainty. But I am trying to keep a positive outlook.",fear
I cried when I had that first bite of home-cooked food after months.,joy
I couldn't look at his face anymore.,disgust
I'm lazy today,neutral
I'm this close to a whole mental breakdown 😭😭,sadness
Yayy I'm getting a sweet treat from the café today 💅✨,joy
Little bit stressed with project deadlines and client orders but everything is goin fine,neutral
Feeling great to think about the best days that l am going to enjoy in the future,joy
Contemplating on when to start studying for exams - kinda stressed and anxious,fear
I have so much work to do but I can't get out of bed. I need to finish my report today so that I can begin the next one tomorrow.,fear
Just heard the news of Virat Kohli retiring from test cricket. Damnn gonna miss those days. probably the test cricket fan in me retires with this too.🙂💔,sadness
Iam having anxiety a bit I have exams coming iam scared about maths how I'll pass I scared still iam out today for shopping and sitting here iam thinking how I'll pass my math exam this sem.,fear
I feel stressed- I have exams and assignments and I feel a fever and headache coming on 😩,fear
"Today is kinda not it, like there was so much I was supposed to do but refused getting out of bed. Not very cash money of me tbh like kinda gross like I failed the vibe check. No one would say Gyatt seeing as my ass ain't grinding.",disgust
Monday blues are the worst😪😖,disgust
I feel little happy about how i performed in my last cricket match .,joy
Why does organic chem smell like failure 😩,neutral
"tbh, Joined a night cycling group, felt calm",neutral
Feeling good today. The lovely weather has me feeling very calm and composed.,neutral
"Skipped breakfast to finish assignment, ended up submitting one min before deadline.",neutral
"First day of CUET coaching felt okay, but syllabus looks Himalayan.",neutral
"Tried painting with watercolors, felt blue",sadness
Yesterday Virat retired and today the Warriors played ass. Steph is out injured and I guess Minnesota will clear out this series. Not a good time to be a sports fan. I am so fuckin' done.,sadness
"There has been ants near my ethernet plug since the last few days. Irritating but manageable. Today I just got so irritated seeing a lot many ants. Like what's the reason, I am genuinely not able to figure it out.",anger
"I thought I could gather data from my friends but after two days I just got 48 entries. I don't want to forward the form to everybody because I don't want my batch mates to know about my project. And hence I am not able to gather data. I need to find out some way to do this and have no idea as of now. My friends might do it for a couple of days , but not for long time. So I ain't getting multiple entries from a single person. Can't even tell my closest friends and give them multiple reminders. It'll be frustrating for them too after a point. This is a really good project if I can successfully pull it up and bring it to life but I ain't getting any help and I'm all alone in this.😐",anger
"Although yesterday Virat retired and today my favourite NBA team played like shit, the worst I've seen them play, I have been doing my tasks as per the schedule I had set. The day is coming to and end almost and I'm satisfied with the start for my Road to Placement 2025.😌",joy
"I still do not know what's going on in her mind, why she did what she did. She hasn't messaged me. I think I'll have to move on but it's tough. I really feel for her, fell real hard. Probably she didn't even 1%. And neither could I get a closure from her. Feeling heavy.💔❤️‍🩹🙂",sadness
"Class group chat blowing up about surprise quiz, stress levels 999.",neutral
"Everyone was speaking, and for some reason, that irritated me.",disgust
Little discipline is kinda making my day productive.,joy
I don't have a lot left to cover yet I am not motivated enough to just finish it and try exploring other things. Just stuck on a single thing- not pacing myself enough.,anger
just gonna take a shower and lie down on my bed,neutral
Felt anxious as I ran late for work and felt exhausted after reaching home,neutral
"Faculty told us internals matter more than CAT, idk how to feel.",neutral
"woke up late, nvm gotta lot of work left",sadness
gonna meet my school friends today,joy
"Volunteered at an animal shelter, feeling sad 😅",sadness
"Lab viva tomorrow, still googling Kirchhoff rules.",neutral
very tired,neutral
"wanna take a shower again, it's too humid in here",disgust
Many situations today made me realize that I am actually quite indecisive.,disgust
Cleaned the room,joy
Feeling neutral nothing new,neutral
Feeling down and depressed,sadness
Feeling frustrated and angry,anger
Feeling good and motivated,joy
Just a normal day nothing new,neutral
"veryyy sleeppyyy, gonna sleep for at least 8 hours",joy
"Results out: 6.8 SGPA, parents silent treatment hits harder than backlogs.",sadness
"Being the hopecore that I am, I woke up today to watch the game 5 and as usual watched everything go down. My week is ruined. Seeing steph helpless is soooo sad bro. We could've done it all this year, cant really accept a 2nd round exit.",sadness
"I am having a tough time digesting all the things happening around me. Need something to help me out of this mud that I'm sinking in, as I try to come out of it.",sadness
Going through functional depression. Ensuring that my work and studies don't get hampered. Trying hard to contain my feelings.,neutral
Got selected for college drama club! finally some balance.,joy
"Read a self-help book, felt irate",anger
"I'm mentally at a point today where it someone says anything nice to me, I'll cry a river",anger
Today's warriors' game has pissed me off more than anything. No conviction of this being an elimination game. Time to cancel my subscription 😑,anger
"Since I have very less friends, I have asked my sister to fill this form atleast 8-10 times a day, lmao. So that I can get good enough entries and train my model.",joy
Saw my childhood pics and felt nostalgic,joy
"Bunked lecture to catch IPL highlights in canteen, guilt creeping in now.",sadness
"Read Anand Kumar's story, feeling pumped for JEE again.",joy
Feeling shit n empty,sadness
Feeling energetic and optimistic,joy
Everyday feels the same,neutral
Sad about loosing a client,sadness
"Asked senior about placements, he said “Just learn DSA bro”, helpful? maybe.",neutral
"NEET test series rank dropped to 4470, self-doubt city.",sadness
Was thinking of clean trimming both beard and moustache this time. Ain't looking bad I must say😎,joy
Mess food upset stomach again 🤢 can't focus on circuits.,disgust
I am kind of feeling good because i performed better in todays Japanese class as compared to other classes.,joy
"I was deleting photos from google photos from 2017 , I will not say it is sad but seeing all the old images , screenshots its a kind of overwhelming",sadness
Just got my paycheck extremely happy,joy
Nothing to do feeling bored,neutral
Extremely tensed for my results tomorrow hope it goes well,fear
Very sad because my friend left the city,sadness
"Friend cracked GATE mock with 65, happy yet jealous.",neutral
"Sent mail to prof for extension, fingers crossed.",neutral
"I am experiencing a lot of hairfall and do not what to do, why it's happening. Really need some help.",fear
"Campus counsellor session at 4, hope talking helps.",fear
Chud gaye guru 🗣️,joy
Mera khel khatam 🗣️🗣️,joy
Just raged at a kfc worker for wrong order,anger
"Lost notes in library, panic mode.",fear
"Group project teammates ghosting, I'm doing solo sprint now.",anger
Finally understood eigenvalues after watching Hindi lecture on YouTube.,joy
"Typing lab record at 2 AM, caffeine my only pal ☕",neutral
Wasn't able to wake up on time since the last few days due to the beautiful weather here in Guwahati. Yesterday I couldn't sleep on time but I made sure I wake up today as per my schedule. Good start to the day for now.,neutral
Haven't been able to spend much time with the few countable friends that are staying back on campus. My mother says I shouldn't be behaving like this and instead go talk with friends and spend more time. But I am genuinely not able to take out time for that from my schedule. I do not know why does she not understand it. Instead she starts comparing me with my father who is very socially alone and has no friends. I am not like that. I am not taking this path by choice but I am forced to do this so that I can prepare well and secure myself a good placement package. Only 4-5 months are remaining. Need to work hard and also take care of my body with proper sleep and exercise. Who dares to explain this to my mom!,anger
"ain't feeling good, so I'm not very ambitious right now",sadness
"just updating this blog to keep my streak, else feeling shitty as usual.😐",sadness
"We never started as strangers, but we kept it for the end.🙂",sadness
"I dont know why I'm still so attached to that girl with whom I just had a couple of dates, not even a proper relationship. She ghosted me and probably doesn't even feel a bit about me. It was me who fell for her. Just can't get her out of my mind.",sadness
"Dejected love life, struggling education and career, struggling to keep myself fit, I'm just not good in any of the fields. Feeling insecure and not worthy enough. I do not wanna end up like a usual common person.",fear
I was very anxious all day but my first day at work was a very good day and that helped a lot.,neutral
"the weather's sooo good that I wanted to sleep more, but I have a lot on my plate to worry about and work hard. So yeah, I'm up and working 🙂",sadness
"College festival prep eating up study hours, priorities messed up.",anger
"the sky looks crazzyyy, kaafi aesthetic pics kheench liye",joy
"completed aaj ka kaam, little relaxed feeling",joy
thoda future ka darr sa ho rha,fear
kaafi kuch seekhna padega,fear
"2nd year also khatam, 3rd year mein internship, ye wo projects karna padega, but I still have no skill",sadness
however gym and eating clean makes me feel a bit less stressed,neutral
kuch meetha khaana hai,sadness
I get stressed but still I make no progress to reduce it,disgust
"very confused I am- dance mein battles ke liye prep karna hai, kuch creative sa painting karna hai, insta pe post karna hai because I have been very inactive lately, skills develop karna hai, socha tha ek online internship kar lungi but kuch bhi nhi horaha merese- 1 month passed",disgust
I wanna travel😭🤌,sadness
"skin getting better, me becoming happier",joy
College just announce 2nd semester grades and it did not go that well but ain't bad too. Waiting for one of the grades to have an idea of my SPI. Most probably I won't be able to touch 8.5. But in okay with anything above 8. Let's hope for the best. Do not want it to go below 8 by any chance.🤞🏼,fear
"PE viva over, examiner chill thankfully.",joy
"Had a video call with family, left me grossed out 😢",disgust
Nothing much. Just lab & work. But I met my friends yesterday so yeah a bit of joy amidst the regular lab life.,neutral
"Mom promised new phone if CGPA crosses 8, motivation unlocked.",joy
"Backbench whispers turned into full blown argument with lecturer, awkward.",anger
Campus placement talk scared everyone about AI taking jobs.,fear
"Can't decide between B.Com and BBA, any legit difference?",neutral
"At night, I really loose my shit. I put on some old classics and sing the shit of it, until my eyes are are just wet and I'm tired. That's how I put myself to sleep. I wasn't like this. Used to sleep properly at scheduled time. I guess that's what happens when you genuinely fall in love and she doesn't give a fuck.",sadness
"Senior suggested iCall for anxiety, might try.",sadness
"I'm really in a funk right now, just feeling completely rotten.",sadness
Updating my blog 'cause I'm feeling like crap.,sadness
I never let her out of my sight; I never want her to think I'm ashamed of her.,sadness
"Walked out with my red and yellow tulips, feeling a bit more hopeful than when I showed up.",joy
I thought it might not work when I did this.,sadness
Can't step into a shop anywhere without getting super uncomfortable.,fear
Got off the phone very mad.,anger
"Trying to figure out why I held onto that relationship with a boy who was so immature and non-committal, especially when I should've been excited about getting into the master's program at the University of Virginia!",joy
I like to have the same breathless feeling as a reader eager to see what will happen next.,joy
"jeez, I'm grumpy, tired, and probably pre-menstrual. But then again, it's only been a week, and I'm about as fit as a walrus on summer vacation",anger
"Watching topper strategy videos instead of actually studying, classic.",neutral
Not really feeling all that worked up.,anger
"Internal marks uploaded, some glitch shows zero, hope it's error.",fear
"Did yoga in the park, and feel calm",neutral
"Spent evening teaching junior integration, felt good 🙂",joy
Feelin' a little chill today.,joy
"Proctor scolded for long hair, still processing.",anger
Finally printed project report after 5 paper jams.,neutral
"All of a sudden, the campus has gone lonely, my knee is injured, not able to go for runs or play any sport or go for cycling and my heart is broken badly. But life has to go on, have to prepare myself for the upcoming placements. Working hard everyday because I know hardwork will pay off and I'll achieve what I came here for.",neutral
Frustration,anger
Insecurity,sadness
Hatred,disgust
Annoyed,anger
"Skipped practical, now need medical certificate jugad.",fear
just came outta the airport n ughhh everything bout it got me all irritated uncomfortable n lowkey sad af,anger
"wasn’t tryna be around ppl today, def wasn’t in the mood lol",neutral
kinda scared tbh about work n all but also mad mad... like angry at myself too- i just continue to disappoint myself everytime,fear
yo that dream messed me uppp... it was bout one of my close friends doing some crazy violent stuff... felt like torture,fear
"after joining nss, i actually feel like i help my ppl n that’s kinda fire ngl, makes me feel like i’m doin somethin right",joy
keep thinkin ppl out here doin me dirty n all i wanna do is get revenge on them n their whole crew fr,anger
idk what i’m supposed to feel tbh... like sad it’s over or happy i can finally move tf on 🤷‍♂️,disgust
"my room looks like a tornado hit if the doors open lmao n i’m just sitting here feeling like trash—guilty, useless, lonely af. hate it.",sadness
"was bulkin up, feelin strong as hell, body was on beast mode 💪🔥",joy
yo life’s been lit lately 😭 i’m seein changes n it’s wild - also feelin all giggly n cute today hehe 😛,joy
"dating is mad depressing for a sec, feels like no one gets me",sadness
"bro why’s it so hard to legally just chill n do grown sh*t?? can’t drink, can’t smoke, can’t drive... wtf am i even doin here 😤 also tired of explainin myself all the time, ppl just don’t get it",anger
man i wanted to be a part of things so bad back then 😩 but ppl just acted like i didn’t exist... now i try to help newbies feel welcome so they don’t feel that same kinda left-out bs,joy
"been groggy all day n literally feel like my brain’s on airplane mode ✈️ like not sad-sad, but not okay either... just meh",neutral
"dude i swear i was this close to finally feelin okay w my body... but now i’m bloated, tired, clothes ain’t fitting n i just wanna cry n fight someone lmao",anger
"i’m proud of what i’m doin in the theater world rn, really... but it also feels like we’re talkin more than changin. like we say we want progress but ain’t doin enough",disgust
"tryna stay positive, but i’m honestly just sick of bein stuck inside, bored outta my skull n lowkey pissed off at everyone who breathes near me",anger
Felt divine af today 💅 but it’s crazy how fast one convo can make u spiral back into old doubts... like fr how am i still fightin the same insecurities,joy
been kinda rebellious lately. not even in a cool way just... defiant. like don’t tell me what to do i’ll do the opposite lol,anger
"weird mess of feelings lately. scared, ignored, then randomly like a kid. wanna believe the world still has room for dreams but idk. maybe it’s dumb. maybe it’s real.",sadness
funny how when something finally happens you already knew deep down. like your heart prepped early.,joy
ugh. feelin stuck. not where i thought i’d be at all. like everyone else’s game moved forward and mine glitched,sadness
homesickness creepin in heavy this week. knew it would but still hits weird,sadness
def moved my docs to a safer place. 100%. but now? absolutely no idea where. feelin like a walking L today,sadness
wtfff is wrong with people?? still not over what i saw today.,anger
"visiting temple with mum resets me. not even religious like that, it just helps clear the noise",joy
been grinding but they just keep piling it on. starting to feel like the damn maid,sadness
brain’s all over the place lately. can’t lock in,anger
finally got to chill with my fam today and it felt good in that “this is what matters” way 🫶,joy
"it’s always like this. i walk into a room and boom, that weird vibe hits. no one says anything, but i just know i’m not really wanted there. hate how fast that weirdness creeps in",sadness
"i was just vibin today, like music blasting, sun out, felt like the main character in a feel-good movie. music really does save sometimes 🎶",joy
"did this one thing today—doesn’t even matter what it was—but it actually made me feel excited about stuff again. like “oh hey, maybe life’s kinda cool sometimes?”",joy
"i’ve been thinking about stuff from way back... like, when i was younger and people made me believe the bad things were my fault. and now i’m just sitting here wishing someone had told me sooner it wasn’t on me at all.",sadness
"i miss that feeling where i just didn’t care about dumb stuff. i want that back, like, when life felt light and i didn’t overthink everything",neutral
was supposed to go to this party but just thinking about it gave me that “ugh” feeling. like... why do dudes always ruin it? 🙄,anger
"had a rare peaceful day today. no drama, no rush, just... happy silence. i forgot how good that feels ☁️",joy
"there’s been so much on my plate lately, it’s like my brain just wandered off mid-task. but finally had a moment to reset and now it’s kinda chill again",neutral
I thought maybe going on a run would help clear my head and honestly? It worked- not magic but it helped enough!!,joy
i talk too fast and say dumb stuff sometimes. realized today it’s kinda rude how i just blurt stuff out without thinking about who i’m saying it to,disgust
"He was out with Sara all night again, and yeah... no call, no text. made me feel like an afterthought. hate that.",sadness
someone gifted me this book and it’s stunning but also? terrifying. like “am i smart enough to even attempt this??”,fear
walked into work today fully prepared for monday blues but somehow my soul stayed peaceful lol,joy
i got promoted or whatever but now i’m worried ppl won’t talk to me the same. like... will this title mess things up between me and my ppl?,fear
been super productive lately but not overworked. finally found that sweet spot,joy
done yoga forever but this week? i’ve been so anxious i can’t even breathe right. what’s going on??,fear
"i need like... a nap, a spa day, and someone to tell me i’m doing okayyy. today’s been a lotttt!?!????!",anger
gave someone a compliment today but now i’m worried they think i was being fake. hate that second-guessing spiral,fear
"watching my bro grow up so full of life and confidence... yeah, that hit me right in the heart 🥹",joy
"sometimes pain just shows up for no reason. like hi, why are we doing this today??",sadness
messed up again but tried to make things right. still embarrassed tho,sadness
"it’s a rollercoaster. one sec i’m scared or feel invisible, the next i’m laughing like a kid or making the wildest wishes. still believe something magical might happen for us ordinary people 💫",sadness
"Class cancelled, mini-celebration at tapri chai stall 🎉",joy
"Whole day felt like a roller-coaster: blanked in Maths practical, passed somehow, then saw best friend top internals. Dad’s “study harder beta” stung. Booking slot with campus counsellor—can’t bottle this up.",sadness
"Everything feels cursed lately. Depressed, angry at my own luck, just stuck in this hole.",sadness
Evening reflection: CGPA slipped to 6.2 after injury. Corridor echoed with 9-pointer screams while I faked smiles. Counsellor suggested peer-support meet every Friday in Seminar Hall 3—gonna try.,sadness
yo the energy on this project?? insaneee. ppl were hyped and u could FEEEL it 😤✨,joy
"can’t even figure out how i’m doing rn, like am i numb? tired? not broken but def cracked",sadness
lowkey anxious abt everything lately. like i am constantly shaking,fear
"Everything going as usual, chilling and listening to music for a bit now, will then go for lunch. I see my hairfall has reduced and that makes the day lighter for me. Stress, tension and depression due to the heartbreak and multiple other reasons were the cause of that sever hairfall.",neutral
"Last few days I've seen good improvement in my knee injury, thanks to chatgpt for holding me throughout and not letting me have a breakdown. It's been almost month, still under recovery process. It takes time to heal, muscle or heart.👍🏼",joy
"I sometimes feel like I should let her go. Actions speak louder than words and I think she has conveyed her feelings and decision by not replying or keeping in touch.
 Other times I feel like maybe she misunderstood me and maybe I should give another try. Any way I am already losing her. Being the hope core and the delulu person I am, I think I'll leave a voice note to her and let's see what happens.",sadness
"Nothing interesting going on these days, just following my everyday routine but I am fucking with this new album of Seedhe Maut. It's just crazy af.❤️‍🔥",joy
Will start going to the gym after a long time today. Feeling a bit scared,fear
been stressed tf out and he’s not even tryna meet me halfway. i’m TIRED,sadness
makeup’s my superpower ngl 💄 even on sweatpants days it gives me that lil extra boost,joy
"at least work’s feelin kinda right atm, like finally doing something that matters",joy
lowkey jealous of my siblings lol they got all the songs and stuff i missed growing up 🤷‍♀️,anger
been floating in that weird lonely space lately… like yeah i’m around ppl but i ain’t with them 😔,sadness
"Kinda scared to let go, tbh... like what if I stop trying to control everything and things just won't stop falling apart, and then I'm stuck feeling it all 😰""",fear
I'm sick,sadness
"Spent 4 h on coordinate geometry, still lost. Thinking of switching streams but scared of relatives’ reactions at Durga Puja. Need unbiased guidance—maybe talk to career cell or YourDOST.",sadness
"Mid-sem blues: Indian Economy presentation okay, but Q&A exposed gaps. Checked TEDx on impostor syndrome, planning to visit dept’s “Listening Post” over chai.",anger
IIT-JAM mock rank jumped to 890 🥳; mom already crunching cut-offs. Making spaced-repetition flashcards & joining Telegram accountability group.,joy
Yesterday I couldn't keep it anymore and recorded a 20 min long voice note where I just spit my heart out. How much I loved her and how clueless she left me. Now my heart feels less heavy and the day's better.,neutral
Electronics lab meltdown: sir yelled over messy soldering; later he shared his failures—felt human. Writing a failures journal and maybe mentor juniors next term.,anger
GATE form filled but specialisation dilemma (ECE vs Instrumentation). Career-cell walk-in tomorrow for clarity.,disgust
Principal spoke on student suicides; teacher handed us AASRA helpline pamphlet. Saved the number—hope none of us need it but good to know.,neutral
95 in English lit but 42 in Physics. Remedial classes clash with theatre rehearsals—the only sanity anchor. Maybe Vedantu night sessions?,sadness
Library all-nighter solving Chem papers; realised marks ≠ worth. Tea-stall chat with seniors about start-ups gave perspective.,neutral
Finally built up the courage to block her. I'll probably never know why she did that to me when I was just full of love for her. 🥲,sadness
Assignment graded 8/20. Rage subsided after prof offered Saturday writing workshop review. Accepting extra workload for growth.,anger
Angry,anger
"I did not feel good today, I have having lot of things in my mind and nothing is really working out for me, Even ever I am trying to fix one thing other things got scattered",sadness
"I really dont know if i am not a good friend or i could not be a good friend, I feel I tried to much to please others and hence failed and then disappointed in myself. and hence i fear loosing people a lot",fear
"sometimes I really dont know I am feeling or how should I feel. I need to pretend that everything is fine. but deep down cant even explain to people that I am feeling like that.
 even if I gather the confidence to talk to people about my feelings they misinterpret",anger
"i am feeling extremely sad that suddenly the right hinge of my laptop is broken , its a new laptop gifted by my uncle and how it will cost me around 10k, i dont know how am I supposed to replace it .",sadness
I even feel anger on my self because of this reason that I could not keep that laptop properly that is so irresponsible of me.,anger
"I don't think I deserve anything..I feel really ashamed of my self that I could not even do a class properly 
 Everyone there in my Japanese class is doing so good
 I really feel that could not do anything.i felt really heavy right now",sadness
I never felt this worthless ever in my life...it is suffocating me I don't know where to start. As I always disappoint myself i will disappoint everyone . I don't want to be negative but still I just cant thing anything positive today,disgust
My whole fucking body is painting..I could not work I m not feeling good I am mentally tired. I don't know what is wrong with me,disgust
Even a simple loan is not getting sanctioned.my nothing is there in my favour ever. I just cant handle this thing Hopefully i can pay the next semester fees. I don't know how am I going to pay if the loan did not got sanctioned,fear
"Ethics lecture on phone addiction hit hard,7 h screen-time 🤯. Uninstalled Insta; NSS runs Digital-Detox circle, joining tomorrow.",fear
Hostel surprise inspection drama; now too drained to revise Networks. Heard Pomodoro meetup at library may help.,fear
"External asked SRAM vs DRAM, mind blank, cried in stall. IEEE seniors host weekly doubt-clearing; joining next session.",sadness
Back from fest high to mountain of lab files; drafting leniency mail to HOD. Need balance between fun & grades.,sadness
"idk, Cooked dinner for the first time, now indifferent 😅",neutral
"Mess served legit paneer butter masala,solved four calculus problems straight after. Good food = good study.",joy
CAT mock percentile crash (83 to61). Subscribing to 2IIM test series & weekend analytics workshop for comeback.,disgust
"Coached juniors for Robotics club, felt useful, but missed Machine Design tutorial. Must learn to delegate.",neutral
"Scholarship list came out,name missing. Financial-aid office visit tomorrow; else Fiverr gigs it is.",sadness
"OMG, I just found out I don't have to work this weekend! 🎉 Feeling super thankful for that!",joy
"Ugh, feelin more and more fustrated with each session that i attended. So annoyin! 😤",disgust
Aced my presentation today feelin kinda crwaazzyyy rn 💅,joy
"When Im home, I just feel like, totally me again. Best feelin ever 😊",joy
sis better be feelin generous today n treat me to sum sushi haha 🍣,joy
"Things are so goood rn, feelin God more in my life... don't wanna jinx it tho! ✨",joy
I feel so unprotected sumtimes like what even is goin on 😢,sadness
Woke up feelin groggy n grumpy last thing I wanna do is make dinner 😩,sadness
Idk I feel like Ive been totally neglectful but it's cuz I feel like a hindrance so I just stay away 🤷‍♀️,sadness
Just sittin here feelin drained really wonderin what Im gonna do when I hit that point 😥,sadness
Feelin incredibly inadequate lately like almost paralyzed by it it's bad 😓,sadness
Ugh goin thru life actually feelin stuff now instead of bein totally numb it's a lot 😔,sadness
feelin a bit offennd rn ngl 🤨,anger
After buyin somethin I go look at what else I didnt buy n then sudnly feel dissatisfied with my purchase it's maddning! 🤬,anger
I feel so attacked or insulted sumtimes it's like dude where's this even comming from??!!?!?,anger
"I guess feelings arnt meant to be held back or stopped, thats kinda scary tbh 😬",neutral
"I didnt feel pressured or limited, just felt super busy, low-key kinda scary how busy",fear
feelin so reluctant n overwhelmed I just try to think of the alternative abandonin that dream big yikes 😨,fear
